,demos
125,installing_a_modem_0_Beechwood_0_int_2021-06-02_21-05-56.hdf5
126,installing_a_printer_0_Beechwood_0_int_2021-05-28_20-02-50.hdf5
127,installing_a_printer_0_Beechwood_0_int_2021-05-31_15-06-14.hdf5
128,installing_a_printer_0_Beechwood_0_int_2021-06-02_21-10-06.hdf5
129,installing_a_scanner_0_Beechwood_0_int_2021-05-28_20-09-25.hdf5
130,installing_a_scanner_0_Beechwood_0_int_2021-05-31_15-11-06.hdf5
131,installing_a_scanner_0_Beechwood_0_int_2021-06-02_21-14-20.hdf5
132,laying_tile_floors_0_Benevolence_2_int_2021-05-23_18-19-40.hdf5
133,laying_tile_floors_0_Benevolence_2_int_2021-05-31_15-13-42.hdf5
134,laying_tile_floors_0_Benevolence_2_int_2021-06-02_21-22-21.hdf5
135,laying_wood_floors_0_Pomaria_1_int_2021-05-26_16-28-38.hdf5
136,laying_wood_floors_0_Pomaria_1_int_2021-05-31_15-18-23.hdf5
137,laying_wood_floors_0_Pomaria_1_int_2021-06-02_21-27-11.hdf5
138,loading_the_dishwasher_0_Benevolence_1_int_2021-05-27_11-55-49.hdf5
139,loading_the_dishwasher_0_Benevolence_1_int_2021-05-31_15-23-02.hdf5
140,loading_the_dishwasher_0_Benevolence_1_int_2021-06-02_21-31-42.hdf5
141,locking_every_door_0_Merom_1_int_2021-05-26_16-36-27.hdf5
142,locking_every_door_0_Merom_1_int_2021-05-31_15-28-08.hdf5
143,locking_every_door_0_Merom_1_int_2021-06-02_21-37-10.hdf5
144,locking_every_window_0_Wainscott_0_int_2021-05-28_20-15-20.hdf5
145,locking_every_window_0_Wainscott_0_int_2021-05-31_15-32-21.hdf5
146,locking_every_window_0_Wainscott_0_int_2021-06-02_22-18-26.hdf5
147,making_tea_0_Wainscott_0_int_2021-05-30_11-59-53.hdf5
148,making_tea_0_Wainscott_0_int_2021-05-31_15-44-16.hdf5
149,making_tea_0_Wainscott_0_int_2021-06-02_22-31-12.hdf5
150,mopping_floors_0_Benevolence_2_int_2021-05-23_17-49-14.hdf5
151,mopping_floors_0_Benevolence_2_int_2021-06-03_16-07-23.hdf5
152,mopping_floors_0_Benevolence_2_int_2021-06-05_19-28-43.hdf5
153,moving_boxes_to_storage_0_Merom_0_int_2021-06-08_13-02-25.hdf5
154,moving_boxes_to_storage_0_Merom_0_int_2021-06-08_13-10-44.hdf5
155,moving_boxes_to_storage_0_Merom_0_int_2021-06-11_20-04-35.hdf5
156,opening_packages_0_Benevolence_2_int_2021-05-23_19-02-06.hdf5
157,opening_packages_0_Benevolence_2_int_2021-05-31_15-56-21.hdf5
158,opening_packages_0_Benevolence_2_int_2021-06-03_16-46-42.hdf5
159,opening_presents_0_Benevolence_2_int_2021-05-24_17-43-18.hdf5
160,opening_presents_0_Benevolence_2_int_2021-05-31_15-58-51.hdf5
161,opening_presents_0_Benevolence_2_int_2021-06-03_16-49-46.hdf5
162,organizing_boxes_in_garage_0_Ihlen_0_int_2021-05-24_21-31-50.hdf5
163,organizing_boxes_in_garage_0_Ihlen_0_int_2021-05-31_16-01-52.hdf5
164,organizing_boxes_in_garage_0_Ihlen_0_int_2021-06-05_18-54-10.hdf5
165,organizing_file_cabinet_0_Beechwood_0_int_2021-05-30_13-09-40.hdf5
166,organizing_file_cabinet_0_Beechwood_0_int_2021-06-02_19-12-38.hdf5
167,organizing_file_cabinet_0_Beechwood_0_int_2021-06-03_19-10-14.hdf5
168,organizing_school_stuff_0_Benevolence_2_int_2021-05-24_17-22-00.hdf5
169,organizing_school_stuff_0_Benevolence_2_int_2021-05-31_16-05-19.hdf5
170,organizing_school_stuff_0_Benevolence_2_int_2021-06-01_18-49-54.hdf5
171,packing_adult_s_bags_0_Ihlen_1_int_2021-05-26_16-48-21.hdf5
172,packing_adult_s_bags_0_Ihlen_1_int_2021-06-03_14-12-35.hdf5
173,packing_adult_s_bags_0_Ihlen_1_int_2021-06-03_18-35-58.hdf5
174,packing_bags_or_suitcase_0_Merom_1_int_2021-05-28_22-41-34.hdf5
175,packing_bags_or_suitcase_0_Merom_1_int_2021-06-02_19-20-10.hdf5
176,packing_bags_or_suitcase_0_Merom_1_int_2021-06-03_18-26-07.hdf5
177,packing_boxes_for_household_move_or_trip_0_Beechwood_0_int_2021-05-30_13-23-36.hdf5
178,packing_boxes_for_household_move_or_trip_0_Beechwood_0_int_2021-06-02_19-37-13.hdf5
179,packing_boxes_for_household_move_or_trip_0_Beechwood_0_int_2021-06-04_17-31-23.hdf5
180,packing_car_for_trip_0_Ihlen_0_int_2021-05-24_20-50-17.hdf5
181,packing_car_for_trip_0_Ihlen_0_int_2021-06-03_14-19-48.hdf5
182,packing_car_for_trip_0_Ihlen_0_int_2021-06-03_15-42-11.hdf5
183,packing_child_s_bag_0_Beechwood_1_int_2021-05-30_13-31-44.hdf5
184,packing_child_s_bag_0_Beechwood_1_int_2021-06-02_20-01-40.hdf5
185,packing_child_s_bag_0_Beechwood_1_int_2021-06-03_15-38-25.hdf5
186,packing_food_for_work_0_Beechwood_0_int_2021-05-30_13-38-09.hdf5
187,packing_food_for_work_0_Beechwood_0_int_2021-06-02_20-13-58.hdf5
188,packing_food_for_work_0_Beechwood_0_int_2021-06-03_15-33-36.hdf5
189,packing_lunches_0_Beechwood_0_int_2021-05-30_13-44-21.hdf5
190,packing_lunches_0_Beechwood_0_int_2021-06-02_20-20-03.hdf5
191,packing_lunches_0_Beechwood_0_int_2021-06-03_15-27-10.hdf5
192,packing_picnics_0_Wainscott_0_int_2021-05-23_22-32-44.hdf5
193,packing_picnics_0_Wainscott_0_int_2021-05-31_16-12-27.hdf5
194,packing_picnics_0_Wainscott_0_int_2021-06-01_17-18-35.hdf5
195,picking_up_take-out_food_0_Beechwood_0_int_2021-05-26_18-00-09.hdf5
196,picking_up_take-out_food_0_Beechwood_0_int_2021-05-31_16-24-31.hdf5
197,picking_up_take-out_food_0_Beechwood_0_int_2021-06-01_21-14-32.hdf5
198,picking_up_trash_0_Beechwood_0_int_2021-05-26_18-08-11.hdf5
199,picking_up_trash_0_Beechwood_0_int_2021-05-31_16-32-14.hdf5
200,picking_up_trash_0_Beechwood_0_int_2021-06-01_17-55-41.hdf5
201,polishing_furniture_0_Ihlen_0_int_2021-05-23_19-54-30.hdf5
202,polishing_furniture_0_Ihlen_0_int_2021-05-31_16-37-12.hdf5
203,polishing_furniture_0_Ihlen_0_int_2021-06-01_18-02-31.hdf5
204,polishing_shoes_0_Merom_0_int_2021-05-24_17-18-34.hdf5
205,polishing_shoes_0_Merom_0_int_2021-05-31_16-40-50.hdf5
206,polishing_shoes_0_Merom_0_int_2021-06-01_21-19-44.hdf5
207,polishing_silver_0_Merom_1_int_2021-05-27_12-02-16.hdf5
208,polishing_silver_0_Merom_1_int_2021-05-31_17-09-03.hdf5
209,polishing_silver_0_Merom_1_int_2021-06-03_15-20-26.hdf5
210,preparing_a_shower_for_child_0_Ihlen_0_int_2021-05-23_19-59-05.hdf5
211,preparing_a_shower_for_child_0_Ihlen_0_int_2021-06-02_20-28-38.hdf5
212,preparing_a_shower_for_child_0_Ihlen_0_int_2021-06-03_15-16-21.hdf5
213,preparing_salad_0_Pomaria_1_int_2021-05-31_17-14-46.hdf5
214,preparing_salad_0_Pomaria_1_int_2021-06-03_15-06-56.hdf5
215,preparing_salad_0_Pomaria_1_int_2021-06-11_19-43-26.hdf5
216,preserving_food_0_Ihlen_1_int_2021-05-28_16-09-56.hdf5
217,preserving_food_0_Ihlen_1_int_2021-05-31_17-31-57.hdf5
218,preserving_food_0_Ihlen_1_int_2021-06-07_20-20-39.hdf5
219,putting_away_Christmas_decorations_0_Wainscott_0_int_2021-06-06_12-31-25.hdf5
220,putting_away_Christmas_decorations_0_Wainscott_0_int_2021-06-06_16-56-22.hdf5
221,putting_away_Christmas_decorations_0_Wainscott_0_int_2021-06-06_17-03-25.hdf5
222,putting_away_Halloween_decorations_0_Rs_int_2021-05-25_20-44-19.hdf5
223,putting_away_Halloween_decorations_0_Rs_int_2021-05-31_17-45-31.hdf5
224,putting_away_Halloween_decorations_0_Rs_int_2021-06-03_14-47-46.hdf5
225,putting_away_toys_0_Ihlen_0_int_2021-05-23_20-02-41.hdf5
226,putting_away_toys_0_Ihlen_0_int_2021-06-02_20-33-37.hdf5
227,putting_away_toys_0_Ihlen_0_int_2021-06-03_14-43-00.hdf5
228,putting_dishes_away_after_cleaning_0_Ihlen_1_int_2021-05-23_20-50-21.hdf5
229,putting_dishes_away_after_cleaning_0_Ihlen_1_int_2021-06-03_14-38-18.hdf5
230,putting_dishes_away_after_cleaning_0_Ihlen_1_int_2021-06-05_19-01-16.hdf5
231,putting_leftovers_away_0_Pomaria_1_int_2021-05-24_12-53-10.hdf5
232,putting_leftovers_away_0_Pomaria_1_int_2021-05-31_18-05-14.hdf5
233,putting_leftovers_away_0_Pomaria_1_int_2021-06-03_14-32-54.hdf5
234,putting_up_Christmas_decorations_inside_0_Ihlen_1_int_2021-05-28_15-43-40.hdf5
235,putting_up_Christmas_decorations_inside_0_Ihlen_1_int_2021-06-02_20-49-31.hdf5
236,putting_up_Christmas_decorations_inside_0_Ihlen_1_int_2021-06-03_14-27-09.hdf5
237,re-shelving_library_books_0_Rs_int_2021-05-25_20-59-29.hdf5
238,re-shelving_library_books_0_Rs_int_2021-05-31_18-15-25.hdf5
239,re-shelving_library_books_0_Rs_int_2021-06-04_13-59-40.hdf5
240,rearranging_furniture_0_Pomaria_2_int_2021-05-30_22-06-44.hdf5
241,rearranging_furniture_0_Pomaria_2_int_2021-06-04_14-22-36.hdf5
242,rearranging_furniture_0_Pomaria_2_int_2021-06-05_19-35-59.hdf5
243,serving_a_meal_0_Merom_1_int_2021-05-25_21-21-11.hdf5
244,serving_a_meal_0_Merom_1_int_2021-05-30_22-13-16.hdf5
245,serving_a_meal_0_Merom_1_int_2021-06-01_18-56-47.hdf5
246,serving_hors_d_oeuvres_0_Wainscott_0_int_2021-05-28_15-23-04.hdf5
247,serving_hors_d_oeuvres_0_Wainscott_0_int_2021-05-30_22-28-23.hdf5
248,serving_hors_d_oeuvres_0_Wainscott_0_int_2021-06-01_19-29-25.hdf5
249,setting_mousetraps_0_Beechwood_1_int_2021-05-24_15-31-18.hdf5
250,setting_mousetraps_0_Beechwood_1_int_2021-05-30_22-39-16.hdf5
251,setting_mousetraps_0_Beechwood_1_int_2021-06-01_19-40-19.hdf5
252,setting_up_candles_0_Wainscott_0_int_2021-05-30_13-53-09.hdf5
253,setting_up_candles_0_Wainscott_0_int_2021-06-02_17-55-12.hdf5
254,setting_up_candles_0_Wainscott_0_int_2021-06-04_14-16-17.hdf5
255,sorting_books_0_Pomaria_1_int_2021-05-30_14-05-08.hdf5
256,sorting_books_0_Pomaria_1_int_2021-06-02_19-04-53.hdf5
257,sorting_books_0_Pomaria_1_int_2021-06-04_14-32-22.hdf5
258,sorting_groceries_0_Wainscott_0_int_2021-05-23_22-23-02.hdf5
259,sorting_groceries_0_Wainscott_0_int_2021-06-02_21-08-58.hdf5
260,sorting_groceries_0_Wainscott_0_int_2021-06-04_14-39-37.hdf5
261,sorting_mail_0_Rs_int_2021-05-26_19-09-39.hdf5
262,sorting_mail_0_Rs_int_2021-05-30_22-56-33.hdf5
263,sorting_mail_0_Rs_int_2021-06-04_15-06-41.hdf5
264,storing_food_0_Rs_int_2021-05-31_11-45-10.hdf5
265,storing_food_0_Rs_int_2021-05-31_11-49-30.hdf5
266,storing_food_0_Rs_int_2021-06-05_19-14-59.hdf5
267,storing_the_groceries_0_Wainscott_0_int_2021-05-23_22-13-12.hdf5
268,storing_the_groceries_0_Wainscott_0_int_2021-06-04_15-16-12.hdf5
269,storing_the_groceries_0_Wainscott_0_int_2021-06-04_17-13-16.hdf5
270,thawing_frozen_food_0_Wainscott_0_int_2021-05-23_22-01-08.hdf5
271,thawing_frozen_food_0_Wainscott_0_int_2021-06-01_20-55-26.hdf5
272,thawing_frozen_food_0_Wainscott_0_int_2021-06-05_19-50-38.hdf5
273,throwing_away_leftovers_0_Ihlen_1_int_2021-06-04_19-48-55.hdf5
274,throwing_away_leftovers_0_Ihlen_1_int_2021-06-04_19-52-40.hdf5
275,throwing_away_leftovers_0_Ihlen_1_int_2021-06-05_19-10-02.hdf5
276,unpacking_suitcase_0_Ihlen_1_int_2021-05-24_18-12-48.hdf5
277,unpacking_suitcase_0_Ihlen_1_int_2021-06-02_21-18-54.hdf5
278,unpacking_suitcase_0_Ihlen_1_int_2021-06-04_15-28-22.hdf5
279,vacuuming_floors_0_Benevolence_2_int_2021-05-23_18-27-15.hdf5
280,vacuuming_floors_0_Benevolence_2_int_2021-06-02_19-31-10.hdf5
281,vacuuming_floors_0_Benevolence_2_int_2021-06-04_15-35-58.hdf5
282,washing_cars_or_other_vehicles_0_Ihlen_0_int_2021-05-28_14-03-36.hdf5
283,washing_cars_or_other_vehicles_0_Ihlen_0_int_2021-06-02_21-25-15.hdf5
284,washing_cars_or_other_vehicles_0_Ihlen_0_int_2021-06-04_15-43-02.hdf5
285,washing_dishes_0_Wainscott_0_int_2021-05-27_16-50-19.hdf5
286,washing_dishes_0_Wainscott_0_int_2021-05-31_18-28-33.hdf5
287,washing_dishes_0_Wainscott_0_int_2021-06-04_15-49-38.hdf5
288,washing_floor_0_Ihlen_1_int_2021-05-23_21-00-46.hdf5
289,washing_floor_0_Ihlen_1_int_2021-06-02_21-32-45.hdf5
290,washing_floor_0_Ihlen_1_int_2021-06-04_15-56-16.hdf5
291,washing_pots_and_pans_0_Benevolence_1_int_2021-06-07_19-10-24.hdf5
292,washing_pots_and_pans_0_Benevolence_1_int_2021-06-07_20-01-56.hdf5
293,washing_pots_and_pans_0_Benevolence_1_int_2021-06-07_20-10-22.hdf5
294,watering_houseplants_0_Beechwood_0_int_2021-05-23_21-51-52.hdf5
295,watering_houseplants_0_Beechwood_0_int_2021-05-31_18-46-34.hdf5
296,watering_houseplants_0_Beechwood_0_int_2021-06-04_16-03-26.hdf5
297,waxing_cars_or_other_vehicles_0_Ihlen_0_int_2021-05-27_16-32-32.hdf5
298,waxing_cars_or_other_vehicles_0_Ihlen_0_int_2021-06-02_21-49-34.hdf5
299,waxing_cars_or_other_vehicles_0_Ihlen_0_int_2021-06-03_19-17-09.hdf5
